City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,West Bay,KY,79.0,broken clouds,19.3667,-81.4167,Calypso Cove
8,Puerto Colombia,CO,86.0,few clouds,10.9878,-74.9547,Hotel El Emigrante
9,Valdivia,CL,89.6,clear sky,-39.8142,-73.2459,Hostal Entre Rios
13,Camocim,BR,80.53,moderate rain,-2.9022,-40.8411,Hotel Ilha do Amor
15,Dolores,AR,89.62,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
16,Saint-Philippe,RE,82.4,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Alto Araguaia,BR,83.64,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
21,Comodoro Rivadavia,AR,89.6,broken clouds,-45.8667,-67.5,Austral Hotel
22,Eyl,SO,76.14,overcast clouds,7.9803,49.8164,Amiin Hotel
23,Rawson,AR,87.69,clear sky,-43.3002,-65.1023,Hosteria Sampedro
30,Cidreira,BR,75.02,broken clouds,-30.1811,-50.2056,Hotel Castelo
32,Mar Del Plata,AR,77.0,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
36,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Pirineos
38,Chuy,UY,76.19,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
41,Puerto Madryn,AR,86.02,clear sky,-42.7692,-65.0385,Hotel Tolosa
50,Harper,LR,79.43,few clouds,4.375,-7.7169,Screensaver
55,Gaoual,GN,82.4,scattered clouds,11.75,-13.2,Hotel koliba
58,Souillac,MU,78.8,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
59,Conceicao Do Araguaia,BR,79.61,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
65,Placido De Castro,BR,85.91,overcast clouds,-10.3353,-67.1856,Hotel Carioca
68,Yenagoa,NG,79.02,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
69,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Mahibadhoo,MV,81.66,clear sky,3.7833,72.9667,Omadhoo Inn
78,Nortelandia,BR,85.21,moderate rain,-14.4547,-56.8028,Hotel Karysmã
82,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
84,Saint-Leu,RE,82.4,moderate rain,-21.15,55.2833,La Caz Oceane
85,Arraial Do Cabo,BR,86.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
90,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
92,Monrovia,LR,80.6,scattered clouds,6.3005,-10.7969,Sunset Inn
94,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
101,Carnarvon,AU,77.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
104,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
107,Xai-Xai,MZ,77.79,scattered clouds,-25.0519,33.6442,Complexo da Familia
109,Hithadhoo,MV,81.84,broken clouds,-0.6,73.0833,Scoop Guest House
113,Rafaela,AR,90.0,few clouds,-31.2503,-61.4867,Parra Hotel & Suites
120,Paita,PE,82.4,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
123,Toamasina,MG,82.4,light rain,-18.1667,49.3833,Hotel H1
124,Ibicarai,BR,84.2,scattered clouds,-14.865,-39.5875,Pousada Patioba
126,San Antero,CO,86.58,scattered clouds,9.3741,-75.7589,Villamarina Inn chale
129,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
131,Rodrigues Alves,BR,78.8,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
133,San Pedro,PH,77.0,moderate rain,14.35,121.0167,OYO 412 Viewfort Venue
136,Inirida,CO,83.57,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
137,Vila Velha,BR,86.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
139,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
140,San Carlos,VE,89.44,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
142,North Port,US,75.0,broken clouds,27.0442,-82.2359,Americas Best Value Inn & Suites North Port
148,Tulum,MX,80.6,light rain,20.2167,-87.4667,Kin Ha Tulum
166,Orodara,BF,77.0,clear sky,10.9492,-4.9342,Bkf Orodara
168,Vallenar,CL,85.64,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
170,Canto Do Buriti,BR,85.66,overcast clouds,-8.11,-42.9444,Novo Hotel
173,Tamale,GH,84.54,clear sky,9.4008,-0.8393,Tap Hotel
175,Huarmey,PE,76.55,overcast clouds,-10.0681,-78.1522,Hotel Miramar
180,Oistins,BB,77.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
185,Beira,MZ,84.2,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
186,San,ML,79.79,clear sky,13.3034,-4.8956,Hôtel Teriya
187,Canutama,BR,78.69,light rain,-6.5339,-64.3831,Hotel Jhennifer
188,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
194,Inhambane,MZ,78.49,light rain,-23.865,35.3833,Oceano
196,Saint-Pierre,RE,82.4,light rain,-21.3393,55.4781,Lindsey Hôtel
197,Benguela,AO,76.1,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
198,Natal,BR,84.2,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
199,Boa Vista,BR,89.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
200,The Valley,AI,80.6,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
201,Muisne,EC,80.6,light rain,0.6,-80.0333,Quinta Samay
203,Nargana,PA,81.18,light rain,9.4428,-78.5906,Dubbir
209,Mogadishu,SO,79.12,overcast clouds,2.0371,45.3438,Hotel Juba
216,Sinnamary,GF,80.55,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
217,Niamey,NE,78.8,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
228,Quatre Cocos,MU,81.0,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
234,Bengkulu,ID,77.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
240,Chake Chake,TZ,79.68,overcast clouds,-5.2459,39.7666,Hotel Archipelago
249,Saint-Joseph,RE,82.4,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
255,Jacqueville,CI,80.6,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
256,Hambantota,LK,77.25,clear sky,6.1241,81.1185,Bungalow 63
261,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
263,La Asuncion,VE,79.5,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
264,Puerto Ayora,EC,86.0,light rain,-0.7393,-90.3518,Castillo Galapagos
266,Pitimbu,BR,82.4,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
268,Guanica,PR,82.99,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
270,Rocha,UY,79.36,clear sky,-34.4833,-54.3333,Beleza Pura B&B
274,Caravelas,BR,80.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
279,Trinidad,BO,87.8,broken clouds,-14.8333,-64.9,Hotel Piesta
280,Iquitos,PE,84.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
286,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
292,Kourou,GF,82.4,broken clouds,5.1552,-52.6478,Lodge Takini 4
305,Itarema,BR,82.09,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
308,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Siesta Hotel
309,Coruripe,BR,80.38,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
311,Alta Floresta,BR,79.7,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
312,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
314,Zabid,YE,77.56,clear sky,14.1951,43.3152,دار الضيافة
316,Hobyo,SO,78.21,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
318,Meulaboh,ID,76.1,overcast clouds,4.1363,96.1285,Kost Pria
321,Lima,PE,78.01,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
325,Canchungo,GW,80.6,broken clouds,12.0672,-16.0333,Aparthotel Napalach
328,Salinopolis,BR,79.74,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
333,Quelimane,MZ,86.0,few clouds,-17.8786,36.8883,Hotel Flamingo
335,Nouakchott,MR,77.0,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
336,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
340,Koster,ZA,75.31,overcast clouds,-25.863000000000003,26.8976,Klub Kranskuil
346,Sao Domingos Do Prata,BR,78.33,clear sky,-19.865,-42.9683,Hotel Santa Isabel
350,Fort Myers Beach,US,75.99,clear sky,26.451999999999998,-81.9481,Lani Kai Island Resort
354,Ibicui,BR,77.4,few clouds,-14.8417,-39.9867,Pousada Vista da Serra
357,Ambovombe,MG,77.14,clear sky,-25.1667,46.0833,RELAHARA
364,Sassandra,CI,78.66,clear sky,4.95,-6.0833,la terrasse
