City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Muskegon,US,43.3,-86.1334,27.0,68,90,17.27,overcast clouds
1,Jamestown,US,42.097,-79.2353,21.99,73,90,17.27,light snow
2,Faya,SA,18.3851,42.4509,55.4,82,0,5.75,clear sky
3,Ushuaia,AR,-54.8,-68.3,59.0,41,40,4.61,scattered clouds
4,Hermanus,ZA,-34.4187,19.2345,66.99,77,2,4.0,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,60.8,44,0,20.71,clear sky
6,Kuryk,KZ,43.2,51.65,28.76,85,58,17.74,broken clouds
7,West Bay,KY,19.3667,-81.4167,79.0,78,75,14.97,broken clouds
8,Puerto Colombia,CO,10.9878,-74.9547,86.0,66,20,14.97,few clouds
9,Valdivia,CL,-39.8142,-73.2459,89.6,33,0,9.22,clear sky
10,Cape Town,ZA,-33.9258,18.4232,66.99,77,0,17.27,clear sky
11,Roald,NO,62.5833,6.1333,41.0,52,40,13.8,scattered clouds
12,Pasni,PK,25.2631,63.471,69.33,83,0,5.17,clear sky
13,Camocim,BR,-2.9022,-40.8411,80.53,79,100,10.71,moderate rain
14,Busselton,AU,-33.65,115.3333,64.0,89,12,1.01,few clouds
15,Dolores,AR,-36.3132,-57.6792,89.62,29,0,16.82,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,82.4,69,90,3.44,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,69.01,81,83,1.01,broken clouds
18,Cambridge,CA,43.3601,-80.3127,23.0,68,90,18.41,light snow
19,Ponta Do Sol,PT,32.6667,-17.1,61.0,68,33,1.99,scattered clouds
20,Alto Araguaia,BR,-17.3147,-53.2153,83.64,57,66,4.72,broken clouds
21,Comodoro Rivadavia,AR,-45.8667,-67.5,89.6,27,75,17.27,broken clouds
22,Eyl,SO,7.9803,49.8164,76.14,77,94,18.05,overcast clouds
23,Rawson,AR,-43.3002,-65.1023,87.69,23,0,18.25,clear sky
24,Vrede,ZA,-27.4257,29.1659,61.84,79,22,6.89,few clouds
25,Dikson,RU,73.5069,80.5464,-7.73,92,100,6.69,overcast clouds
26,Tromso,NO,69.6496,18.957,21.2,49,75,3.44,broken clouds
27,Tandil,AR,-37.3217,-59.1332,95.0,22,0,4.0,clear sky
28,Ancud,CL,-41.8697,-73.8203,67.84,65,100,8.39,overcast clouds
29,Mao,ES,39.8885,4.2658,55.4,82,75,13.8,broken clouds
30,Cidreira,BR,-30.1811,-50.2056,75.02,73,77,12.39,broken clouds
31,Oksfjord,NO,70.2396,22.3479,23.0,74,40,19.57,scattered clouds
32,Mar Del Plata,AR,-38.0023,-57.5575,77.0,78,20,16.11,few clouds
33,Saldanha,ZA,-33.0117,17.9442,66.2,68,0,8.05,clear sky
34,Nantucket,US,41.2835,-70.0995,35.6,69,40,13.8,scattered clouds
35,Bredasdorp,ZA,-34.5322,20.0403,66.2,72,30,9.22,scattered clouds
36,San Cristobal,VE,7.7669,-72.225,86.0,54,40,9.22,scattered clouds
37,Crestview,US,30.7621,-86.5705,71.01,49,1,8.05,clear sky
38,Chuy,UY,-33.6971,-53.4616,76.19,60,0,12.28,clear sky
39,Sebina,BW,-20.8667,27.25,75.2,73,40,8.05,light rain
40,Zemio,CF,5.0314,25.1361,72.64,27,88,4.45,overcast clouds
41,Puerto Madryn,AR,-42.7692,-65.0385,86.02,26,0,20.67,clear sky
42,Gwadar,PK,25.1216,62.3254,69.19,77,0,5.32,clear sky
43,Hun,LY,29.1268,15.9477,51.8,49,0,7.25,clear sky
44,San Luis,AR,-33.295,-66.3356,91.26,17,0,6.58,clear sky
45,Kaura Namoda,NG,12.5898,6.5779,70.47,21,0,10.92,clear sky
46,Zitsa,GR,39.6943,20.6372,39.2,75,100,1.14,overcast clouds
47,Awjilah,LY,29.1081,21.2869,46.2,56,0,5.26,clear sky
48,Henties Bay,NA,-22.116,14.2845,69.01,84,55,3.0,broken clouds
49,Qaanaaq,GL,77.484,-69.3632,29.8,86,100,13.29,overcast clouds
50,Harper,LR,4.375,-7.7169,79.43,79,22,4.18,few clouds
51,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,18.41,broken clouds
52,Krasnoarmeysk,RU,51.0239,45.6969,-8.39,91,17,9.46,few clouds
53,Beboto,TD,8.2668,16.939,77.63,18,91,4.52,overcast clouds
