City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2021-01-19 22:17:54,-33.0153,27.9116,71.44,72,84,20.56
1,Damavand,IR,2021-01-19 22:17:54,35.7178,52.065,42.8,39,0,1.88
2,Ponta Do Sol,PT,2021-01-19 22:17:54,32.6667,-17.1,60.01,65,96,5.99
3,Massaguet,TD,2021-01-19 22:17:54,12.4755,15.4365,73.4,20,1,11.5
4,Jiwani,PK,2021-01-19 22:17:55,25.05,61.7417,70.25,83,0,8.7
5,Ouadda,CF,2021-01-19 22:17:55,8.0777,22.4007,72.19,22,0,7.43
6,Qaanaaq,GL,2021-01-19 22:15:11,77.484,-69.3632,2.41,71,99,8.46
7,Georgetown,MY,2021-01-19 22:17:55,5.4112,100.3354,77.0,83,40,2.3
8,Ugoofaaru,MV,2021-01-19 22:17:55,5.6667,73.0,81.7,65,0,6.42
9,Huarmey,PE,2021-01-19 22:17:56,-10.0681,-78.1522,75.24,70,49,9.6
10,Dikson,RU,2021-01-19 22:17:56,73.5069,80.5464,-20.54,89,93,9.35
11,Jamestown,US,2021-01-19 22:17:56,42.097,-79.2353,28.0,86,90,10.36
12,Torbay,CA,2021-01-19 22:17:56,47.6666,-52.7314,34.0,86,90,17.27
13,Hermanus,ZA,2021-01-19 22:17:56,-34.4187,19.2345,64.0,83,51,11.07
14,Brownsville,US,2021-01-19 22:17:56,25.9018,-97.4975,75.2,69,90,16.11
15,Ilo,PE,2021-01-19 22:17:56,-17.6394,-71.3375,71.56,76,77,5.64
16,Meulaboh,ID,2021-01-19 22:13:01,4.1363,96.1285,75.22,88,97,4.09
17,Ushuaia,AR,2021-01-19 22:17:57,-54.8,-68.3,60.8,48,20,12.66
18,Aktau,KZ,2021-01-19 22:17:57,43.65,51.2,23.0,86,0,11.18
19,Port Elizabeth,ZA,2021-01-19 22:17:57,-33.918,25.5701,68.0,83,0,13.8
20,Kruisfontein,ZA,2021-01-19 22:17:57,-34.0033,24.7314,66.0,81,7,1.01
21,Tashara,RU,2021-01-19 22:17:57,55.5195,83.5094,-22.81,87,0,3.2
22,Cape Town,ZA,2021-01-19 22:17:57,-33.9258,18.4232,68.0,68,20,17.27
23,San Pedro,PH,2021-01-19 22:13:46,14.35,121.0167,77.0,88,90,2.3
24,Abapo,BO,2021-01-19 22:17:58,-18.8333,-63.4667,79.99,39,16,5.53
25,Punta Arenas,CL,2021-01-19 22:14:08,-53.15,-70.9167,60.8,51,0,9.22
26,Mapiripan,CO,2021-01-19 22:17:58,2.8892,-72.1256,85.84,53,47,5.5
27,Mpika,ZM,2021-01-19 22:17:58,-11.8343,31.4529,64.17,95,100,3.29
28,Arraial Do Cabo,BR,2021-01-19 22:17:58,-22.9661,-42.0278,75.2,83,0,16.11
29,Ilulissat,GL,2021-01-19 22:17:58,69.2167,-51.1,26.6,63,40,6.91
30,Mar Del Plata,AR,2021-01-19 22:17:59,-38.0023,-57.5575,71.6,68,0,11.5
31,Saldanha,ZA,2021-01-19 22:17:59,-33.0117,17.9442,64.4,72,0,16.11
32,Comodoro Rivadavia,AR,2021-01-19 22:17:12,-45.8667,-67.5,73.4,49,40,16.11
33,Tasiilaq,GL,2021-01-19 22:17:59,65.6145,-37.6368,14.0,67,20,3.44
